regex,matcher,regex_length,regex_complexity,input_file,input_file_size (bytes),execution_time (ms),file_type
\b[0-9]{2}\b,-E,12,7.2,27.txt,873045,23.861249287923176,text
\b[0-9]{2}\b,-E,12,7.2,45.txt,271635,16.12997055053711,text
\b[0-9]{2}\b,-E,12,7.2,22.txt,566610,15.75795809427897,text
\b[0-9]{2}\b,-E,12,7.2,48.txt,1786200,39.776881535847984,text
\b[0-9]{2}\b,-E,12,7.2,58.txt,62860,8.767207463582357,text
\b[0-9]{2}\b,-E,12,7.2,42.txt,2173080,50.58368047078451,text
\b[0-9]{2}\b,-E,12,7.2,55.txt,754320,33.57561429341634,text
\b[0-9]{2}\b,-E,12,7.2,46.txt,90545,8.047898610432943,text
\b[0-9]{2}\b,-E,12,7.2,10.txt,1022010,22.55415916442871,text
\b[0-9]{2}\b,-E,12,7.2,47.txt,18109,5.382617314656575,text
\b[0-9]{2}\b,-E,12,7.2,32.txt,997680,29.417673746744793,text
\b[0-9]{2}\b,-E,12,7.2,15.txt,2064090,69.89510854085286,text
\b[0-9]{2}\b,-E,12,7.2,12.txt,16512720,358.16248257954913,text
\b[0-9]{2}\b,-E,12,7.2,59.txt,12572,5.544344584147136,text
\b[0-9]{2}\b,-E,12,7.2,33.txt,498840,21.081209182739258,text
\b[0-9]{2}\b,-E,12,7.2,30.txt,3990720,62.85834312438965,text
\b[0-9]{2}\b,-E,12,7.2,18.txt,13598640,123.94531567891438,text
\b[0-9]{2}\b,-E,12,7.2,20.txt,3399660,39.955695470174156,text
\b[0-9]{2}\b,-E,12,7.2,38.txt,709080,10.171016057332357,text
\b[0-9]{2}\b,-E,12,7.2,25.txt,3492180,32.55550066630045,text
\b[0-9]{2}\b,-E,12,7.2,3.txt,6045810,60.82073847452799,text
\b[0-9]{2}\b,-E,12,7.2,0.txt,48366480,427.3700714111328,text
\b[0-9]{2}\b,-E,12,7.2,41.txt,23636,6.556987762451172,text
\b[0-9]{2}\b,-E,12,7.2,9.txt,3066030,28.63152821858724,text
\b[0-9]{2}\b,-E,12,7.2,53.txt,14885,3.016789754231771,text
\b[0-9]{2}\b,-E,12,7.2,50.txt,446550,7.826328277587891,text
\b[0-9]{2}\b,-E,12,7.2,11.txt,204402,6.939411163330078,text
\b[0-9]{2}\b,-E,12,7.2,19.txt,6799320,60.7000986735026,text
\b[0-9]{2}\b,-E,12,7.2,21.txt,1699830,31.99307123819987,text
\b[0-9]{2}\b,-E,12,7.2,51.txt,223275,10.448137919108072,text
\b[0-9]{2}\b,-E,12,7.2,35.txt,33256,5.911429723103841,text
\b[0-9]{2}\b,-E,12,7.2,17.txt,137606,13.373533884684244,text
\b[0-9]{2}\b,-E,12,7.2,49.txt,893100,16.382455825805664,text
\b[0-9]{2}\b,-E,12,7.2,24.txt,6984360,79.66987291971843,text
\b[0-9]{2}\b,-E,12,7.2,23.txt,113322,6.058533986409505,text
\b[0-9]{2}\b,-E,12,7.2,14.txt,4128180,94.4206714630127,text
\b[0-9]{2}\b,-E,12,7.2,31.txt,1995360,36.474148432413735,text
\b[0-9]{2}\b,-E,12,7.2,57.txt,188580,13.877550760904947,text
\b[0-9]{2}\b,-E,12,7.2,7.txt,12264120,109.05694961547852,text
\b[0-9]{2}\b,-E,12,7.2,52.txt,74425,7.2718461354573565,text
\b[0-9]{2}\b,-E,12,7.2,40.txt,118180,9.258031845092773,text
\b[0-9]{2}\b,-E,12,7.2,4.txt,2015270,35.32965977986654,text
\b[0-9]{2}\b,-E,12,7.2,8.txt,6132060,59.49703852335612,text
\b[0-9]{2}\b,-E,12,7.2,56.txt,377160,18.455108006795246,text
\b[0-9]{2}\b,-E,12,7.2,39.txt,354540,17.204920450846355,text
\b[0-9]{2}\b,-E,12,7.2,6.txt,24528240,225.5094051361084,text
\b[0-9]{2}\b,-E,12,7.2,44.txt,543270,25.893767674763996,text
\b[0-9]{2}\b,-E,12,7.2,29.txt,58203,6.211042404174805,text
